Map from character to field name
A:	american_samoa
B:	brazil
C:	colombia
D:	cuba
E:	dominican_republic
F:	ecuador
G:	el_salvador
H:	french_guiana
I:	french_polynesia
J:	guadeloupe
K:	guatemala
L:	haiti
M:	honduras
N:	jamaica
O:	martinique
P:	mexico
Q:	nicaragua
R:	panama
S:	peru
T:	puerto_rico
U:	saint_barthelemy
V:	suriname
W:	usa
X:	usvi
Y:	venezuela
Z:	?


Substitution rate (mu): 99.254225

Equilibrium frequencies (pi_i):
  A: 0.0392
  B: 0.0463
  C: 0.0424
  D: 0.0392
  E: 0.0424
  F: 0.039
  G: 0.0392
  H: 0.0391
  I: 0.0404
  J: 0.0393
  K: 0.0391
  L: 0.0384
  M: 0.0435
  N: 0.0392
  O: 0.0391
  P: 0.0419
  Q: 0.0386
  R: 0.0389
  S: 0.039
  T: 0.0391
  U: 0.0388
  V: 0.0387
  W: 0.0404
  X: 0.04
  Y: 0.0388

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y
  A	0	1.0144	1.0147	1.015	1.0148	1.0151	1.0151	1.0151	1.1165	1.0151	1.0151	1.0151	1.0148	1.0151	1.0151	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.0151
  B	1.0144	0	1.2167	1.0143	1.2168	1.0144	1.0144	1.0144	1.1156	1.0144	1.0144	1.2173	1.1154	1.0144	1.0144	1.0139	1.0143	1.0144	1.0144	1.2172	1.1158	1.1158	1.0141	1.5212	1.2172
  C	1.0147	1.2167	0	1.0147	1.1159	1.1162	1.0147	1.0148	1.0146	1.0148	1.0147	1.0148	1.0144	1.0147	1.1162	1.0144	1.0147	1.2177	1.1162	1.0147	1.0148	1.0148	1.0145	1.0145	1.1162
  D	1.015	1.0143	1.0147	0	1.2178	1.015	1.015	1.015	1.0149	1.015	1.1165	1.015	1.0148	1.015	1.015	1.0147	1.015	1.015	1.015	1.015	1.015	1.015	1.0148	1.0148	1.015
  E	1.0148	1.2168	1.1159	1.2178	0	1.0148	1.0148	1.0149	1.0147	1.1163	1.0148	1.0148	1.0145	1.3193	1.0148	1.0145	1.0148	1.0148	1.0148	1.0148	1.0149	1.0149	1.2175	1.319	1.1163
  F	1.0151	1.0144	1.1162	1.015	1.0148	0	1.0151	1.0151	1.015	1.0151	1.0151	1.0151	1.0148	1.0151	1.0151	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.0151
  G	1.0151	1.0144	1.0147	1.015	1.0148	1.0151	0	1.0151	1.015	1.0151	1.1166	1.0151	1.2178	1.0151	1.0151	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.0151
  H	1.0151	1.0144	1.0148	1.015	1.0149	1.0151	1.0151	0	1.015	1.0151	1.0151	1.0151	1.0148	1.0151	1.0151	1.0147	1.015	1.0151	1.0151	1.0151	1.0151	1.0151	1.0148	1.1164	1.0151
  I	1.1165	1.1156	1.0146	1.0149	1.0147	1.015	1.015	1.015	0	1.015	1.015	1.015	1.0147	1.015	1.015	1.0146	1.0149	1.015	1.015	1.0149	1.015	1.015	1.0147	1.0147	1.0149
  J	1.0151	1.0144	1.0148	1.015	1.1163	1.0151	1.0151	1.0151	1.015	0	1.0151	1.0151	1.0148	1.0151	1.0151	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.1163	1.0149	1.0151
  K	1.0151	1.0144	1.0147	1.1165	1.0148	1.0151	1.1166	1.0151	1.015	1.0151	0	1.0151	1.1163	1.0151	1.0151	1.2177	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.015
  L	1.0151	1.2173	1.0148	1.015	1.0148	1.0151	1.0151	1.0151	1.015	1.0151	1.0151	0	1.0148	1.1166	1.0151	1.0147	1.015	1.0151	1.0151	1.0151	1.0151	1.0151	1.1163	1.0149	1.0151
  M	1.0148	1.1154	1.0144	1.0148	1.0145	1.0148	1.2178	1.0148	1.0147	1.0148	1.1163	1.0148	0	1.0148	1.0148	1.8259	1.928	1.0148	1.0148	1.0148	1.0148	1.0148	1.0145	1.0146	1.0148
  N	1.0151	1.0144	1.0147	1.015	1.3193	1.0151	1.0151	1.0151	1.015	1.0151	1.0151	1.1166	1.0148	0	1.0151	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.015
  O	1.0151	1.0144	1.1162	1.015	1.0148	1.0151	1.0151	1.0151	1.015	1.0151	1.0151	1.0151	1.0148	1.0151	0	1.0147	1.015	1.0151	1.0151	1.015	1.0151	1.0151	1.0148	1.0149	1.0151
  P	1.0147	1.0139	1.0144	1.0147	1.0145	1.0147	1.0147	1.0147	1.0146	1.0147	1.2177	1.0147	1.8259	1.0147	1.0147	0	1.2176	1.0147	1.0147	1.0147	1.0147	1.0147	1.1159	1.0145	1.0147
